iter	Passed	Remaining
839	16368	3117
840	16388	3098
841	16413	3080
842	16432	3060
843	16452	3041
844	16472	3021
845	16492	3002
846	16511	2982
847	16535	2963
848	16557	2944
849	16576	2925
850	16593	2905
851	16612	2885
852	16634	2866
853	16652	2846
854	16673	2827
855	16692	2808
856	16712	2788
857	16734	2769
858	16757	2750
859	16775	2730
860	16809	2713
861	16841	2696
862	16871	2678
863	16899	2660
864	16923	2641
865	16947	2622
866	16972	2603
867	16995	2584
868	17021	2566
869	17050	2547
870	17078	2529
871	17117	2512
872	17148	2494
873	17172	2475
874	17196	2456
875	17216	2436
876	17243	2418
877	17270	2399
878	17292	2380
879	17314	2361
880	17331	2341
881	17349	2321
882	17416	2307
883	17455	2290
884	17476	2270
885	17504	2252
886	17522	2232
887	17540	2212
888	17566	2193
889	17590	2174
890	17615	2155
891	17642	2136
892	17664	2116
893	17679	2096
894	17697	2076
895	17712	2055
896	17742	2037
897	17761	2017
898	17787	1998
899	17805	1978
900	17827	1958
901	17843	1938
902	17860	1918
903	17883	1899
904	17909	1880
905	17933	1860
906	17960	1841
907	17987	1822
908	18013	1803
909	18038	1784
910	18065	1764
911	18087	1745
912	18115	1726
913	18140	1706
914	18163	1687
915	18188	1667
916	18211	1648
917	18232	1628
918	18252	1608
919	18276	1589
920	18302	1569
921	18326	1550
922	18350	1530
923	18374	1511
924	18389	1491
925	18413	1471
926	18431	1451
927	18449	1431
928	18467	1411
929	18495	1392
930	18515	1372
931	18536	1352
932	18557	1332
933	18576	1312
934	18596	1292
935	18619	1273
936	18639	1253
937	18661	1233
938	18678	1213
939	18694	1193
940	18711	1173
941	18727	1153
942	18744	1133
943	18761	1112
944	18777	1092
945	18794	1072
946	18810	1052
947	18826	1032
948	18842	1012
949	18858	992
950	18874	972
951	18891	952
952	18907	932
953	18919	912
954	18939	892
955	18958	872
956	18976	852
957	18991	832
958	19008	812
959	19028	792
960	19053	773
961	19072	753
962	19090	733
963	19112	713
964	19134	694
965	19152	674
966	19171	654
967	19189	634
968	19210	614
969	19233	594
970	19253	575
971	19280	555
972	19302	535
973	19320	515
974	19342	495
975	19363	476
976	19384	456
977	19403	436
978	19424	416
979	19445	396
980	19465	377
981	19481	357
982	19501	337
983	19523	317
984	19544	297
985	19571	277
986	19589	258
987	19608	238
988	19630	218
989	19658	198
990	19675	178
991	19698	158
992	19722	139
993	19746	119
994	19768	99
995	19794	79
996	19815	59
997	19833	39
998	19857	19
999	19877	0
